id,name,location,price,rate,types,amenities,imp,ids
242,Lucky Strike LA Live,Jericho,4019.0,4,"id: 7, type_name: Hotel","id: 168, amenities_name: Tastings, id: 169, amenities_name: An event advisor to coordinate all services and be onsite for the duration of your event, id: 372, amenities_name: OnSite Fitness Center, id: 380, amenities_name: Experienced Event Coordinators on staff can assist with décor, audio visual and entertainment needs, id: 425, amenities_name: State of the Art Sound & Lighting System with Award Winning DJ Booth, id: 564, amenities_name: Conference Room","Lucky Strike LA Live Jericho 4019.0 4 id: 7, type_name: Hotel id: 168, amenities_name: Tastings, id: 169, amenities_name: An event advisor to coordinate all services and be onsite for the duration of your event, id: 372, amenities_name: OnSite Fitness Center, id: 380, amenities_name: Experienced Event Coordinators on staff can assist with décor, audio visual and entertainment needs, id: 425, amenities_name: State of the Art Sound & Lighting System with Award Winning DJ Booth, id: 564, amenities_name: Conference Room",241
243,St. Anne's Conference Center,Salfit,4526.0,4,"id: 8, type_name: Conference","id: 72, amenities_name: Included furnishings: 11 6 ft. long folding tables, 10 bar height cocktail tables, and 50 bamboo folding chairs. Out door patio chairs and fire pit on the back patio. Three room and back patio surround sound system with AUX cable plug in and free WIFI., id: 106, amenities_name: Ice chest, id: 327, amenities_name: Restaurant, Banquet Hall, Conference Center, Outdoor Pavilion and Inn with 21 rooms., id: 368, amenities_name: WiFi, Piano, Home made gluten free options, Cabaret style lighting , sound equipment for concerts, Screen, projector options for meetings., id: 450, amenities_name: Complimentary overnight self parking, id: 676, amenities_name: Led light","St. Anne's Conference Center Salfit 4526.0 4 id: 8, type_name: Conference id: 72, amenities_name: Included furnishings: 11 6 ft. long folding tables, 10 bar height cocktail tables, and 50 bamboo folding chairs. Out door patio chairs and fire pit on the back patio. Three room and back patio surround sound system with AUX cable plug in and free WIFI., id: 106, amenities_name: Ice chest, id: 327, amenities_name: Restaurant, Banquet Hall, Conference Center, Outdoor Pavilion and Inn with 21 rooms., id: 368, amenities_name: WiFi, Piano, Home made gluten free options, Cabaret style lighting , sound equipment for concerts, Screen, projector options for meetings., id: 450, amenities_name: Complimentary overnight self parking, id: 676, amenities_name: Led light",242
244,Los Angeles Center Studios,Jerusalem,4954.0,3,"id: 4, type_name: Studio","id: 108, amenities_name: There is also street parking available., id: 241, amenities_name: panoramic skyline views, id: 325, amenities_name: Coffee station with espresso and other specialty beverages, id: 445, amenities_name: State of Art Sound and Lighting system, id: 563, amenities_name: Full Restaurant, id: 594, amenities_name: outdoor facility complete with 18 bowling lanes, 6 bocce courts, exceptional ItalianAmerican bistro and wine cellar, outdoor patio & fireplace and beautifully appointed event and party rooms that can accommodate groups from 20600.","Los Angeles Center Studios Jerusalem 4954.0 3 id: 4, type_name: Studio id: 108, amenities_name: There is also street parking available., id: 241, amenities_name: panoramic skyline views, id: 325, amenities_name: Coffee station with espresso and other specialty beverages, id: 445, amenities_name: State of Art Sound and Lighting system, id: 563, amenities_name: Full Restaurant, id: 594, amenities_name: outdoor facility complete with 18 bowling lanes, 6 bocce courts, exceptional ItalianAmerican bistro and wine cellar, outdoor patio & fireplace and beautifully appointed event and party rooms that can accommodate groups from 20600.",243
245,Sinai Temple,Salfit,3284.0,2,"id: 17, type_name: Religious","id: 142, amenities_name: 5,000 sf climate controlled main reception hall, id: 193, amenities_name: Outdoor film and video screening capabilities, id: 220, amenities_name: Exclusive arrangement with liquor delivery and pick up., id: 305, amenities_name: Two floors. Private party rooms. Two separate DJ booths. A projector and screen. A garden in the back where smoking is allowed., id: 483, amenities_name: Complimentary Internet, Free Parking, id: 514, amenities_name: Rooftop","Sinai Temple Salfit 3284.0 2 id: 17, type_name: Religious id: 142, amenities_name: 5,000 sf climate controlled main reception hall, id: 193, amenities_name: Outdoor film and video screening capabilities, id: 220, amenities_name: Exclusive arrangement with liquor delivery and pick up., id: 305, amenities_name: Two floors. Private party rooms. Two separate DJ booths. A projector and screen. A garden in the back where smoking is allowed., id: 483, amenities_name: Complimentary Internet, Free Parking, id: 514, amenities_name: Rooftop",244
246,Tam O'Shanter Inn,Salfit,4555.0,3,"id: 3, type_name: Restaurant","id: 67, amenities_name: 2 entrances a storefront and a private residence entrance, id: 308, amenities_name: Landscaped wraparound terrace with a 360degree view of the Manhattan skyline, featuring fantastic panoramas that include the Empire State Building and the majestic Marble Collegiate Church., id: 346, amenities_name: Amphitheater, id: 461, amenities_name: Stage with state of the art sound and lighting equipment. Opportunity for mic presentations as well as slide shows., id: 670, amenities_name: Safe Open Air Covered Pavilions, Professional Onsite Catering, Ample Parking, Heated Pools, Private Lake for Boating and Pictures, Awardwinning Architecture and Landscapes, All sports, Privately Owned Established 1989, id: 698, amenities_name: Horseshoes","Tam O'Shanter Inn Salfit 4555.0 3 id: 3, type_name: Restaurant id: 67, amenities_name: 2 entrances a storefront and a private residence entrance, id: 308, amenities_name: Landscaped wraparound terrace with a 360degree view of the Manhattan skyline, featuring fantastic panoramas that include the Empire State Building and the majestic Marble Collegiate Church., id: 346, amenities_name: Amphitheater, id: 461, amenities_name: Stage with state of the art sound and lighting equipment. Opportunity for mic presentations as well as slide shows., id: 670, amenities_name: Safe Open Air Covered Pavilions, Professional Onsite Catering, Ample Parking, Heated Pools, Private Lake for Boating and Pictures, Awardwinning Architecture and Landscapes, All sports, Privately Owned Established 1989, id: 698, amenities_name: Horseshoes",245
247,Tanino Ristorante Bar,Ramallah,1287.0,5,"id: 3, type_name: Restaurant","id: 155, amenities_name: No onsite Bar Service, id: 339, amenities_name: lobby & foyer with so much natural light and character beyond belief! At our space, there is also a little lounge area just inside the large rolling door that has access to shelves, mirrors, fridges, extras, id: 396, amenities_name: Flexible to work with you. Your satisfaction is our priority., id: 397, amenities_name: TV and Projector Equipped, id: 490, amenities_name: 2 outdoor fireplaces, id: 609, amenities_name: Included Amenities: Valet Parking","Tanino Ristorante Bar Ramallah 1287.0 5 id: 3, type_name: Restaurant id: 155, amenities_name: No onsite Bar Service, id: 339, amenities_name: lobby & foyer with so much natural light and character beyond belief! At our space, there is also a little lounge area just inside the large rolling door that has access to shelves, mirrors, fridges, extras, id: 396, amenities_name: Flexible to work with you. Your satisfaction is our priority., id: 397, amenities_name: TV and Projector Equipped, id: 490, amenities_name: 2 outdoor fireplaces, id: 609, amenities_name: Included Amenities: Valet Parking",246
248,The Luckman Fine Arts Complex,Salfit,3281.0,1,"id: 10, type_name: Theater","id: 222, amenities_name: FREE MASSAGE FOR THE BRIDE & HER MOM or for the couple! the week of the wedding!, id: 404, amenities_name: We have a working winery & outdoor patio that feels like you are in a lush setting while being in the middle of the city! The cafe lights, umbrellas, flowers, and ability to move tables, makes us a safe & interesting space., id: 553, amenities_name: Several Outdoor & Indoor Space Options, id: 587, amenities_name: 20 minutes from Boston, id: 602, amenities_name: Hand Tossed Pizza, id: 685, amenities_name: Sound System","The Luckman Fine Arts Complex Salfit 3281.0 1 id: 10, type_name: Theater id: 222, amenities_name: FREE MASSAGE FOR THE BRIDE & HER MOM or for the couple! the week of the wedding!, id: 404, amenities_name: We have a working winery & outdoor patio that feels like you are in a lush setting while being in the middle of the city! The cafe lights, umbrellas, flowers, and ability to move tables, makes us a safe & interesting space., id: 553, amenities_name: Several Outdoor & Indoor Space Options, id: 587, amenities_name: 20 minutes from Boston, id: 602, amenities_name: Hand Tossed Pizza, id: 685, amenities_name: Sound System",247
249,San Antonio Winery & Maddalena Restaurant,Nablus,1053.0,4,"id: 3, type_name: Restaurant, id: 18, type_name: Winery","id: 145, amenities_name: Climate Controlled Taproom and Brewery, id: 159, amenities_name: Private & Semi Private Bowling, id: 511, amenities_name: Incredible Dance floor, State of the art lights and sound system, lounges, worldclass bartenders and bar, id: 582, amenities_name: Banquet room with large commercial kitchen., id: 624, amenities_name: Family owned & operated since 1987, id: 673, amenities_name: Bridal Salon with beauty bar","San Antonio Winery & Maddalena Restaurant Nablus 1053.0 4 id: 3, type_name: Restaurant, id: 18, type_name: Winery id: 145, amenities_name: Climate Controlled Taproom and Brewery, id: 159, amenities_name: Private & Semi Private Bowling, id: 511, amenities_name: Incredible Dance floor, State of the art lights and sound system, lounges, worldclass bartenders and bar, id: 582, amenities_name: Banquet room with large commercial kitchen., id: 624, amenities_name: Family owned & operated since 1987, id: 673, amenities_name: Bridal Salon with beauty bar",248
250,Autry National Center,Jerusalem,2810.0,2,"id: 15, type_name: Museum","id: 280, amenities_name: Secret Garden club lounge area, id: 320, amenities_name: Equipment: 60 chairs; 7 cocktail tables; AV, speaker’s podium with microphone, large screen, id: 361, amenities_name: Exposed air and lighting ducks, id: 517, amenities_name: Cut Foil is open to the public 5 days a week starting at 5 pm. Our venue is available for private events at any time, with applicable minimums., id: 615, amenities_name: Worldclass nightlife resources at your disposal., id: 659, amenities_name: Minutes from Interstate 81","Autry National Center Jerusalem 2810.0 2 id: 15, type_name: Museum id: 280, amenities_name: Secret Garden club lounge area, id: 320, amenities_name: Equipment: 60 chairs; 7 cocktail tables; AV, speaker’s podium with microphone, large screen, id: 361, amenities_name: Exposed air and lighting ducks, id: 517, amenities_name: Cut Foil is open to the public 5 days a week starting at 5 pm. Our venue is available for private events at any time, with applicable minimums., id: 615, amenities_name: Worldclass nightlife resources at your disposal., id: 659, amenities_name: Minutes from Interstate 81",249
251,Crowne Plaza Los Angeles-Commerce Casino,Tulkarem,505.0,4,"id: 7, type_name: Hotel","id: 231, amenities_name: Anchor, id: 299, amenities_name: We proudly offer incredible service, world class Brazilian cuisine, and the best meeting and event spaces in the industry. From our spacious private rooms to our stunning outdoor spaces and lively bars we can accommodate groups of all sizes and needs., id: 328, amenities_name: DJ available, id: 353, amenities_name: Kitchen area with oven and stove top, refrigerator, freezer, and ice machine., id: 621, amenities_name: We provide all guest with one 1 hour prior for set up free of charge., id: 646, amenities_name: Big Screen Projection Capability","Crowne Plaza Los Angeles-Commerce Casino Tulkarem 505.0 4 id: 7, type_name: Hotel id: 231, amenities_name: Anchor, id: 299, amenities_name: We proudly offer incredible service, world class Brazilian cuisine, and the best meeting and event spaces in the industry. From our spacious private rooms to our stunning outdoor spaces and lively bars we can accommodate groups of all sizes and needs., id: 328, amenities_name: DJ available, id: 353, amenities_name: Kitchen area with oven and stove top, refrigerator, freezer, and ice machine., id: 621, amenities_name: We provide all guest with one 1 hour prior for set up free of charge., id: 646, amenities_name: Big Screen Projection Capability",250
252,Ramada Los Angeles/Downtown West,Qalquilia,2167.0,4,"id: 7, type_name: Hotel","id: 176, amenities_name: The Barn at Bergheim Ranch is a beautiful rustic venue located at the foot of the Texas Hill country., id: 216, amenities_name: ALL INCLUDED:Tables & Chairs, id: 421, amenities_name: Outside catering welcome., id: 539, amenities_name: Yes! Over 4200+ square feet of elegance, our Valley Ballroom easily accommodates up to 450 guests. This Ballroom offers extreme versatility, dividing into four sections for smaller events or breakout rooms., id: 655, amenities_name: Celebrations for all occasions, id: 687, amenities_name: HalfBasketball Court","Ramada Los Angeles/Downtown West Qalquilia 2167.0 4 id: 7, type_name: Hotel id: 176, amenities_name: The Barn at Bergheim Ranch is a beautiful rustic venue located at the foot of the Texas Hill country., id: 216, amenities_name: ALL INCLUDED:Tables & Chairs, id: 421, amenities_name: Outside catering welcome., id: 539, amenities_name: Yes! Over 4200+ square feet of elegance, our Valley Ballroom easily accommodates up to 450 guests. This Ballroom offers extreme versatility, dividing into four sections for smaller events or breakout rooms., id: 655, amenities_name: Celebrations for all occasions, id: 687, amenities_name: HalfBasketball Court",251
253,Holy Grounds Coffee & Tea,Jenin,1987.0,5,"id: 3, type_name: Restaurant","id: 65, amenities_name: Features an upscale lounge setting with full bar and dance floor, sound system, stage lights and stage for bands, id: 176, amenities_name: The Barn at Bergheim Ranch is a beautiful rustic venue located at the foot of the Texas Hill country., id: 216, amenities_name: ALL INCLUDED:Tables & Chairs, id: 455, amenities_name: Tailored PrixFixed meals. Handmade bar, woodfired oven imported from Spain. Live Entertainment flamenco shows, DJ, bands, chef table, winetastings, and Iberico ham tastings. Large screen for presentations, projector, mic, A, id: 536, amenities_name: Minutes from the beach, id: 590, amenities_name: Our Gallery Ballroom can accommodate up to 160 guests for a dinner","Holy Grounds Coffee & Tea Jenin 1987.0 5 id: 3, type_name: Restaurant id: 65, amenities_name: Features an upscale lounge setting with full bar and dance floor, sound system, stage lights and stage for bands, id: 176, amenities_name: The Barn at Bergheim Ranch is a beautiful rustic venue located at the foot of the Texas Hill country., id: 216, amenities_name: ALL INCLUDED:Tables & Chairs, id: 455, amenities_name: Tailored PrixFixed meals. Handmade bar, woodfired oven imported from Spain. Live Entertainment flamenco shows, DJ, bands, chef table, winetastings, and Iberico ham tastings. Large screen for presentations, projector, mic, A, id: 536, amenities_name: Minutes from the beach, id: 590, amenities_name: Our Gallery Ballroom can accommodate up to 160 guests for a dinner",252
254,Museum of Tolerance,Jericho,3250.0,2,"id: 10, type_name: Theater, id: 15, type_name: Museum","id: 8, amenities_name: Outside Catering Allowed, id: 99, amenities_name: Exclusive use of all three floors of the Childrens Museum, id: 161, amenities_name: Private Karaoke Suite, id: 257, amenities_name: tables and chairs, id: 544, amenities_name: Six televisions, projector and AUX hook up to customize music, id: 654, amenities_name: We offer amazing views of Lake Quannapowitt. Our function rooms feature large windows that display the lake that is only steps away. We cater to any and all events! We are conveniently located off of Route 95, have ample free parking and hotel rooms.","Museum of Tolerance Jericho 3250.0 2 id: 10, type_name: Theater, id: 15, type_name: Museum id: 8, amenities_name: Outside Catering Allowed, id: 99, amenities_name: Exclusive use of all three floors of the Childrens Museum, id: 161, amenities_name: Private Karaoke Suite, id: 257, amenities_name: tables and chairs, id: 544, amenities_name: Six televisions, projector and AUX hook up to customize music, id: 654, amenities_name: We offer amazing views of Lake Quannapowitt. Our function rooms feature large windows that display the lake that is only steps away. We cater to any and all events! We are conveniently located off of Route 95, have ample free parking and hotel rooms.",253
255,Drago Centro,Jerusalem,4151.0,5,"id: 3, type_name: Restaurant","id: 1, amenities_name: Full Bar, id: 93, amenities_name: Beautiful city view with 10 foot windows. 2nd floor gives exclusivity and privacy. We have a host of vendors to refer you to. We do not offer decorations, catering or event planning services. We are the venue, tables, chairs, prep area only. Paid parking., id: 265, amenities_name: 1 Apartment for honored guests etc., id: 463, amenities_name: Full Media Stage, id: 487, amenities_name: We have a structural all clear sidewall heated tent that will easily accommodate 40 to 60 persons seated. Our indoor bar can also be rented out for parties of up to 25 persons. We can accommodate a drink and food menu to facilitate your event., id: 492, amenities_name: Complimentary Full Hot Breakfast, Managers Reception featuring, Beer, Wine, Beverages & Light Appetizers. Business Center & Wireless HighSpeed Internet Access.","Drago Centro Jerusalem 4151.0 5 id: 3, type_name: Restaurant id: 1, amenities_name: Full Bar, id: 93, amenities_name: Beautiful city view with 10 foot windows. 2nd floor gives exclusivity and privacy. We have a host of vendors to refer you to. We do not offer decorations, catering or event planning services. We are the venue, tables, chairs, prep area only. Paid parking., id: 265, amenities_name: 1 Apartment for honored guests etc., id: 463, amenities_name: Full Media Stage, id: 487, amenities_name: We have a structural all clear sidewall heated tent that will easily accommodate 40 to 60 persons seated. Our indoor bar can also be rented out for parties of up to 25 persons. We can accommodate a drink and food menu to facilitate your event., id: 492, amenities_name: Complimentary Full Hot Breakfast, Managers Reception featuring, Beer, Wine, Beverages & Light Appetizers. Business Center & Wireless HighSpeed Internet Access.",254
256,JW Marriott Los Angeles L.A. LIVE,Qalquilia,4806.0,1,"id: 7, type_name: Hotel","id: 62, amenities_name: 3 acres of Outdoor Space, id: 99, amenities_name: Exclusive use of all three floors of the Childrens Museum, id: 108, amenities_name: There is also street parking available., id: 553, amenities_name: Several Outdoor & Indoor Space Options, id: 603, amenities_name: Heat, id: 606, amenities_name: Bar","JW Marriott Los Angeles L.A. LIVE Qalquilia 4806.0 1 id: 7, type_name: Hotel id: 62, amenities_name: 3 acres of Outdoor Space, id: 99, amenities_name: Exclusive use of all three floors of the Childrens Museum, id: 108, amenities_name: There is also street parking available., id: 553, amenities_name: Several Outdoor & Indoor Space Options, id: 603, amenities_name: Heat, id: 606, amenities_name: Bar",255
257,The Fig House,Jericho,1536.0,1,"id: 4, type_name: Studio, id: 9, type_name: Park","id: 111, amenities_name: Free admission to the National Museums galleries is included with all facility rentals., id: 191, amenities_name: Take advantage of the opportunity to view inspiring exhibitions during breaks in your program. Gallery tours can be scheduled at no additional cost., id: 253, amenities_name: Staging and Parking Area, id: 433, amenities_name: 200 AMP Power supply., id: 516, amenities_name: Outdoor landscape, fields, water, bridges, and Tuscan scenery for photos, id: 625, amenities_name: Enjoy the peace of mind from Hiltons EventReady with Clean Stay providing elevated cleanliness and sanitation across your entire experience. We are committed to clean, flexible, and safe events throughout your entire meeting journey.","The Fig House Jericho 1536.0 1 id: 4, type_name: Studio, id: 9, type_name: Park id: 111, amenities_name: Free admission to the National Museums galleries is included with all facility rentals., id: 191, amenities_name: Take advantage of the opportunity to view inspiring exhibitions during breaks in your program. Gallery tours can be scheduled at no additional cost., id: 253, amenities_name: Staging and Parking Area, id: 433, amenities_name: 200 AMP Power supply., id: 516, amenities_name: Outdoor landscape, fields, water, bridges, and Tuscan scenery for photos, id: 625, amenities_name: Enjoy the peace of mind from Hiltons EventReady with Clean Stay providing elevated cleanliness and sanitation across your entire experience. We are committed to clean, flexible, and safe events throughout your entire meeting journey.",256
258,Residence Inn Los Angeles L.A. LIVE,Jerusalem,3357.0,4,"id: 7, type_name: Hotel","id: 35, amenities_name: Chicago Childrens Museum maintains an exclusive list with firstrate caterers that can be found at http:, id: 46, amenities_name: The barn is semiclimate controlled. For cooling it includes dehumidifiers, water cooled fans, ceiling fans and wall mounted oscillating fans. Heaters are provided in the cooler months., id: 101, amenities_name: Beautiful fireplace, elegant furnishings, separate ladies and gentlemen rooms, cloakroom. Open, light and airy spaces. Lots of outdoor room. Church across the street., id: 444, amenities_name: Call cafe style area for food, id: 524, amenities_name: V. Buyouts available., id: 564, amenities_name: Conference Room","Residence Inn Los Angeles L.A. LIVE Jerusalem 3357.0 4 id: 7, type_name: Hotel id: 35, amenities_name: Chicago Childrens Museum maintains an exclusive list with firstrate caterers that can be found at http:, id: 46, amenities_name: The barn is semiclimate controlled. For cooling it includes dehumidifiers, water cooled fans, ceiling fans and wall mounted oscillating fans. Heaters are provided in the cooler months., id: 101, amenities_name: Beautiful fireplace, elegant furnishings, separate ladies and gentlemen rooms, cloakroom. Open, light and airy spaces. Lots of outdoor room. Church across the street., id: 444, amenities_name: Call cafe style area for food, id: 524, amenities_name: V. Buyouts available., id: 564, amenities_name: Conference Room",257
259,,Qalquilia,1963.0,5,"id: 4, type_name: Studio","id: 21, amenities_name: Our sophisticated, comfortable private and semiprivate dining rooms are ideal for groups large and small, celebrating any special occasion. With custom Italian menus and experienced wait staff, Francesca’s promises to make your event one to remember., id: 72, amenities_name: Included furnishings: 11 6 ft. long folding tables, 10 bar height cocktail tables, and 50 bamboo folding chairs. Out door patio chairs and fire pit on the back patio. Three room and back patio surround sound system with AUX cable plug in and free WIFI., id: 129, amenities_name: Flexibility Let us know, we’ll make it happen; Luxurious Accommodations, id: 138, amenities_name: 15 Flat Screen Tvs and outdoor dining, id: 156, amenities_name: Outdoor Amenities: Baseball, id: 536, amenities_name: Minutes from the beach"," Qalquilia 1963.0 5 id: 4, type_name: Studio id: 21, amenities_name: Our sophisticated, comfortable private and semiprivate dining rooms are ideal for groups large and small, celebrating any special occasion. With custom Italian menus and experienced wait staff, Francesca’s promises to make your event one to remember., id: 72, amenities_name: Included furnishings: 11 6 ft. long folding tables, 10 bar height cocktail tables, and 50 bamboo folding chairs. Out door patio chairs and fire pit on the back patio. Three room and back patio surround sound system with AUX cable plug in and free WIFI., id: 129, amenities_name: Flexibility Let us know, we’ll make it happen; Luxurious Accommodations, id: 138, amenities_name: 15 Flat Screen Tvs and outdoor dining, id: 156, amenities_name: Outdoor Amenities: Baseball, id: 536, amenities_name: Minutes from the beach",258
260,Loews Hollywood Hotel,Tulkarem,645.0,5,"id: 7, type_name: Hotel","id: 216, amenities_name: ALL INCLUDED:Tables & Chairs, id: 399, amenities_name: You can bring your own food and drinks., id: 433, amenities_name: 200 AMP Power supply., id: 491, amenities_name: All rooms are tworoom suites and include free madetoorder breakfast, and evening reception with drinks and snacks. The hotel also underwent a total hotel renovation including suites, meeting spaces, fitness center, lobby, and a new restaurant!, id: 498, amenities_name: Plenty of free parking., id: 544, amenities_name: Six televisions, projector and AUX hook up to customize music","Loews Hollywood Hotel Tulkarem 645.0 5 id: 7, type_name: Hotel id: 216, amenities_name: ALL INCLUDED:Tables & Chairs, id: 399, amenities_name: You can bring your own food and drinks., id: 433, amenities_name: 200 AMP Power supply., id: 491, amenities_name: All rooms are tworoom suites and include free madetoorder breakfast, and evening reception with drinks and snacks. The hotel also underwent a total hotel renovation including suites, meeting spaces, fitness center, lobby, and a new restaurant!, id: 498, amenities_name: Plenty of free parking., id: 544, amenities_name: Six televisions, projector and AUX hook up to customize music",259
261,W Hollywood,Jenin,3228.0,4,"id: 7, type_name: Hotel","id: 67, amenities_name: 2 entrances a storefront and a private residence entrance, id: 142, amenities_name: 5,000 sf climate controlled main reception hall, id: 153, amenities_name: Stan Mansion is proud to serve as one of Chicago’s most popular wedding venues. Our sprawling space can accommodate a wide variety of special events, id: 160, amenities_name: American Cuisine, id: 334, amenities_name: Museum program included in every rental, tables, chairs, set up, breakdown and Museum staffing included in rental. Catering by Wolfgang Puck. Planetarium, Laser Shows, Duck Tours, IMAX, Live Presentations, and Museum Store., id: 452, amenities_name: Ballroom seats 50 to 450 guests","W Hollywood Jenin 3228.0 4 id: 7, type_name: Hotel id: 67, amenities_name: 2 entrances a storefront and a private residence entrance, id: 142, amenities_name: 5,000 sf climate controlled main reception hall, id: 153, amenities_name: Stan Mansion is proud to serve as one of Chicago’s most popular wedding venues. Our sprawling space can accommodate a wide variety of special events, id: 160, amenities_name: American Cuisine, id: 334, amenities_name: Museum program included in every rental, tables, chairs, set up, breakdown and Museum staffing included in rental. Catering by Wolfgang Puck. Planetarium, Laser Shows, Duck Tours, IMAX, Live Presentations, and Museum Store., id: 452, amenities_name: Ballroom seats 50 to 450 guests",260
262,Hinoki & The Bird,Nablus,4705.0,5,"id: 3, type_name: Restaurant","id: 183, amenities_name: Wheelchair accessible, ice space, warehouse space, meeting space, kitchen, loading docks, on site parking., id: 246, amenities_name: Your staying needs solved Hotel next door share the fence., id: 339, amenities_name: lobby & foyer with so much natural light and character beyond belief! At our space, there is also a little lounge area just inside the large rolling door that has access to shelves, mirrors, fridges, extras, id: 389, amenities_name: Our brand new hotel features the Potomac Ballroom which is divisible by 2 Potomac A & Potomac B and has an entire wall of windows offering natural light. The outdoor patio just off of the meeting space makes a great addition for a reception, breaks etc., id: 394, amenities_name: Three Keys Music Venue onsite, Barber shop and shopping on site, Rooftop pool and bar on site, 3 restaurants with 5 bars, id: 458, amenities_name: Bluetooth sound","Hinoki & The Bird Nablus 4705.0 5 id: 3, type_name: Restaurant id: 183, amenities_name: Wheelchair accessible, ice space, warehouse space, meeting space, kitchen, loading docks, on site parking., id: 246, amenities_name: Your staying needs solved Hotel next door share the fence., id: 339, amenities_name: lobby & foyer with so much natural light and character beyond belief! At our space, there is also a little lounge area just inside the large rolling door that has access to shelves, mirrors, fridges, extras, id: 389, amenities_name: Our brand new hotel features the Potomac Ballroom which is divisible by 2 Potomac A & Potomac B and has an entire wall of windows offering natural light. The outdoor patio just off of the meeting space makes a great addition for a reception, breaks etc., id: 394, amenities_name: Three Keys Music Venue onsite, Barber shop and shopping on site, Rooftop pool and bar on site, 3 restaurants with 5 bars, id: 458, amenities_name: Bluetooth sound",261
263,AOC Wine Bar & Restaurant,Qalquilia,3165.0,3,"id: 3, type_name: Restaurant","id: 116, amenities_name: Hand carved moldings, working marble fireplace, catering supplies, 50 champagne flutes, ice buckets, bar supplies., id: 151, amenities_name: Customized Art Curation, id: 156, amenities_name: Outdoor Amenities: Baseball, id: 165, amenities_name: Shuffleboard Table, id: 591, amenities_name: Pool table, id: 627, amenities_name: dance, 180 guests dinner, no dance floor or up to 250 guests for a reception style event.","AOC Wine Bar & Restaurant Qalquilia 3165.0 3 id: 3, type_name: Restaurant id: 116, amenities_name: Hand carved moldings, working marble fireplace, catering supplies, 50 champagne flutes, ice buckets, bar supplies., id: 151, amenities_name: Customized Art Curation, id: 156, amenities_name: Outdoor Amenities: Baseball, id: 165, amenities_name: Shuffleboard Table, id: 591, amenities_name: Pool table, id: 627, amenities_name: dance, 180 guests dinner, no dance floor or up to 250 guests for a reception style event.",262
264,City Libre,Jericho,2707.0,2,"id: 9, type_name: Park","id: 68, amenities_name: Restaurant space for small private parties, id: 144, amenities_name: bluetooth speakers, id: 147, amenities_name: Cocktail Pavilion, id: 186, amenities_name: High speed wifi, id: 418, amenities_name: culture theme: Italian, French, Latin, Asian, etc., id: 506, amenities_name: lounge 1,800 sq ft. We offer a Bridal Suite along with private patio is seasonally available for ceremonies and outdoor seating for your Hors DOeuvres and Refreshment Hour. New flooring in bar","City Libre Jericho 2707.0 2 id: 9, type_name: Park id: 68, amenities_name: Restaurant space for small private parties, id: 144, amenities_name: bluetooth speakers, id: 147, amenities_name: Cocktail Pavilion, id: 186, amenities_name: High speed wifi, id: 418, amenities_name: culture theme: Italian, French, Latin, Asian, etc., id: 506, amenities_name: lounge 1,800 sq ft. We offer a Bridal Suite along with private patio is seasonally available for ceremonies and outdoor seating for your Hors DOeuvres and Refreshment Hour. New flooring in bar",263
265,Mosaic Artspace,Hebron,3137.0,1,"id: 1, type_name: Banquet, id: 10, type_name: Theater","id: 21, amenities_name: Our sophisticated, comfortable private and semiprivate dining rooms are ideal for groups large and small, celebrating any special occasion. With custom Italian menus and experienced wait staff, Francesca’s promises to make your event one to remember., id: 37, amenities_name: All three rooms access comparably sized kitchen warming stations with refrigeration. Clean bathrooms are available on all floors as well., id: 208, amenities_name: event space for presentations or cocktail parties, id: 270, amenities_name: 1 count 24 glass table, id: 571, amenities_name: Beautiful outdoor ceremony site, id: 577, amenities_name: outdoor bar.","Mosaic Artspace Hebron 3137.0 1 id: 1, type_name: Banquet, id: 10, type_name: Theater id: 21, amenities_name: Our sophisticated, comfortable private and semiprivate dining rooms are ideal for groups large and small, celebrating any special occasion. With custom Italian menus and experienced wait staff, Francesca’s promises to make your event one to remember., id: 37, amenities_name: All three rooms access comparably sized kitchen warming stations with refrigeration. Clean bathrooms are available on all floors as well., id: 208, amenities_name: event space for presentations or cocktail parties, id: 270, amenities_name: 1 count 24 glass table, id: 571, amenities_name: Beautiful outdoor ceremony site, id: 577, amenities_name: outdoor bar.",264
266,Rolling Greens Nursery,Jericho,1440.0,4,"id: 1, type_name: Banquet","id: 24, amenities_name: Chelsea Industrial boasts 18ft ceilings, two kitchens, back of house and greenroom space, one of the citys largest internal LED screens, the ability to house vehicles, and floortoceiling windows that allow for tremendous branding opportunities., id: 75, amenities_name: Breathtaking riverfront views from five unique indoor and outdoor spaces., id: 378, amenities_name: Complimentary Breakfast each morning, id: 452, amenities_name: Ballroom seats 50 to 450 guests, id: 500, amenities_name: Gardens, id: 552, amenities_name: pavilion area, we offer a 2000 sq ft riverside patio.","Rolling Greens Nursery Jericho 1440.0 4 id: 1, type_name: Banquet id: 24, amenities_name: Chelsea Industrial boasts 18ft ceilings, two kitchens, back of house and greenroom space, one of the citys largest internal LED screens, the ability to house vehicles, and floortoceiling windows that allow for tremendous branding opportunities., id: 75, amenities_name: Breathtaking riverfront views from five unique indoor and outdoor spaces., id: 378, amenities_name: Complimentary Breakfast each morning, id: 452, amenities_name: Ballroom seats 50 to 450 guests, id: 500, amenities_name: Gardens, id: 552, amenities_name: pavilion area, we offer a 2000 sq ft riverside patio.",265
